what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377277973858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278019532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278024048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278049196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278061472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278062945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278064069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278065007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278066475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278080977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278081023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278082544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278104947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278131233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278131831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278163770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1377278168186
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1377278169006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1377278181261
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1377278184842
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1377278184863
started,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1377278184868
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1377278184872
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1377278184968
started,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1377278186404
started,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1377278186563
started,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1377278186572
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1377278187085
opened,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377278187378
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1377278187679
activated,editor,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1377278187742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1377278202959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377278213699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1377278218310
